"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/2024","2,404.82","2,423.08","2,438.54","2,403.06","2.22B","-0.93%"
"05/23/2024","2,427.34","2,456.48","2,457.15","2,423.70","2.75B","-1.44%"
"05/22/2024","2,462.81","2,459.77","2,475.89","2,456.75","2.68B","0.10%"
"05/21/2024","2,460.28","2,456.12","2,467.39","2,451.09","2.55B","0.01%"
"05/20/2024","2,460.03","2,465.41","2,483.02","2,455.13","3.28B","-0.32%"
"05/17/2024","2,467.88","2,444.52","2,468.26","2,428.80","3.37B","0.94%"
"05/16/2024","2,444.98","2,439.37","2,460.62","2,437.21","3.17B","0.43%"
"05/15/2024","2,434.42","2,460.43","2,461.58","2,432.77","2.88B","-1.01%"
"05/14/2024","2,459.36","2,451.19","2,463.37","2,443.50","2.73B","0.38%"
"05/13/2024","2,450.11","2,437.69","2,457.78","2,420.68","3.04B","0.07%"
"05/10/2024","2,448.43","2,432.36","2,454.36","2,425.71","3.04B","0.75%"
"05/09/2024","2,430.15","2,406.04","2,439.06","2,406.04","2.76B","1.09%"
"05/08/2024","2,403.95","2,420.41","2,423.25","2,402.72","2.50B","-0.90%"
"05/07/2024","2,425.80","2,421.81","2,428.23","2,410.71","2.92B","0.05%"
"05/06/2024","2,424.67","2,427.44","2,435.87","2,417.49","3.65B","0.92%"
"04/30/2024","2,402.66","2,399.21","2,411.50","2,395.27","3.82B","-0.10%"
"04/29/2024","2,405.03","2,363.88","2,411.65","2,362.46","5.16B","2.05%"
"04/26/2024","2,356.80","2,336.42","2,362.60","2,317.96","4.90B","1.03%"
"04/25/2024","2,332.84","2,314.89","2,338.05","2,311.69","2.24B","0.55%"
"04/24/2024","2,319.98","2,317.18","2,320.52","2,302.77","2.22B","0.17%"
"04/23/2024","2,316.15","2,320.98","2,329.25","2,311.63","2.22B","-0.21%"
"04/22/2024","2,321.08","2,323.94","2,344.38","2,317.30","2.45B","-0.08%"
"04/19/2024","2,322.92","2,327.68","2,342.20","2,318.43","2.47B","-0.51%"
"04/18/2024","2,334.77","2,313.23","2,358.77","2,311.60","3.41B","0.69%"
"04/17/2024","2,318.67","2,266.52","2,318.67","2,263.47","3.26B","2.34%"
"04/16/2024","2,265.66","2,302.02","2,310.47","2,264.58","3.25B","-2.08%"
"04/15/2024","2,313.68","2,292.67","2,325.01","2,262.39","3.59B","0.78%"
"04/12/2024","2,295.80","2,314.35","2,324.15","2,292.98","2.55B","-0.93%"
"04/11/2024","2,317.30","2,309.16","2,330.90","2,304.29","2.52B","-0.12%"
"04/10/2024","2,320.07","2,340.26","2,344.18","2,307.97","2.79B","-0.96%"
"04/09/2024","2,342.54","2,333.27","2,343.92","2,327.29","2.56B","0.36%"
"04/08/2024","2,334.19","2,350.80","2,355.91","2,333.35","2.97B","-1.02%"
"04/03/2024","2,358.35","2,366.50","2,369.27","2,353.38","2.58B","-0.46%"
"04/02/2024","2,369.18","2,376.25","2,383.64","2,362.26","3.02B","-0.36%"
"04/01/2024","2,377.80","2,357.83","2,377.80","2,357.83","3.20B","1.24%"
"03/29/2024","2,348.80","2,333.86","2,348.80","2,328.64","2.93B","0.43%"
"03/28/2024","2,338.76","2,333.53","2,360.73","2,326.00","3.38B","0.03%"
"03/27/2024","2,337.96","2,364.21","2,368.71","2,337.96","3.41B","-1.22%"
"03/26/2024","2,366.90","2,352.03","2,369.10","2,347.08","3.40B","0.69%"
"03/25/2024","2,350.65","2,372.83","2,383.68","2,350.03","3.76B","-1.29%"
"03/22/2024","2,381.48","2,399.08","2,399.26","2,365.20","3.55B","-0.84%"
"03/21/2024","2,401.70","2,393.68","2,410.91","2,390.56","3.29B","0.50%"
"03/20/2024","2,389.66","2,376.29","2,391.88","2,372.29","2.82B","0.47%"
"03/19/2024","2,378.43","2,401.98","2,401.98","2,378.26","2.76B","-1.19%"
"03/18/2024","2,407.02","2,383.58","2,407.46","2,382.47","3.34B","1.19%"
"03/15/2024","2,378.80","2,359.39","2,378.80","2,354.58","2.79B","0.71%"
"03/14/2024","2,361.93","2,368.21","2,381.80","2,348.75","2.77B","-0.41%"
"03/13/2024","2,371.68","2,384.97","2,384.97","2,360.78","2.99B","-0.64%"
"03/12/2024","2,387.07","2,386.72","2,393.60","2,371.34","3.26B","0.13%"
"03/11/2024","2,383.95","2,355.32","2,383.95","2,354.92","2.67B","1.16%"
"03/08/2024","2,356.60","2,346.23","2,361.14","2,336.95","2.38B","0.31%"
"03/07/2024","2,349.28","2,359.06","2,381.58","2,344.66","3.05B","-0.58%"
"03/06/2024","2,363.05","2,363.56","2,382.80","2,352.33","2.82B","-0.17%"
"03/05/2024","2,367.02","2,357.91","2,372.08","2,352.73","3.18B","-0.01%"
"03/04/2024","2,367.33","2,378.69","2,379.55","2,348.37","3.27B","-0.70%"
"03/01/2024","2,383.91","2,376.26","2,386.11","2,364.02","3.30B","0.29%"
"02/29/2024","2,377.11","2,319.02","2,377.11","2,318.98","3.72B","1.99%"
"02/28/2024","2,330.80","2,383.60","2,402.90","2,330.80","5.01B","-2.06%"
"02/27/2024","2,379.71","2,339.54","2,379.71","2,336.64","3.27B","1.36%"
"02/26/2024","2,347.73","2,370.61","2,375.06","2,339.93","3.60B","-1.14%"
"02/23/2024","2,374.86","2,362.49","2,379.05","2,354.03","3.63B","0.64%"
"02/22/2024","2,359.82","2,331.53","2,359.82","2,328.39","3.23B","0.80%"
"02/21/2024","2,341.17","2,298.32","2,387.19","2,289.77","4.62B","1.29%"
"02/20/2024","2,311.45","2,281.58","2,315.72","2,269.75","3.41B","1.01%"
"02/19/2024","2,288.34","2,282.42","2,289.22","2,253.34","4.17B","0.82%"
"02/08/2024","2,269.65","2,251.24","2,283.00","2,247.49","5.01B","1.18%"
"02/07/2024","2,243.17","2,221.62","2,248.78","2,207.80","5.31B","0.95%"
"02/06/2024","2,222.09","2,121.84","2,236.67","2,108.52","4.67B","3.58%"
"02/05/2024","2,145.31","2,179.75","2,183.73","2,101.65","4.20B","-2.29%"
"02/02/2024","2,195.55","2,235.33","2,249.21","2,141.07","4.08B","-1.76%"
"02/01/2024","2,234.88","2,242.06","2,265.87","2,216.16","3.28B","-0.85%"
"01/31/2024","2,254.02","2,274.13","2,290.52","2,247.20","3.39B","-1.32%"
"01/30/2024","2,284.17","2,313.40","2,330.23","2,281.77","3.14B","-1.89%"
"01/29/2024","2,328.10","2,353.02","2,361.16","2,328.10","4.13B","-0.88%"
"01/26/2024","2,348.68","2,331.15","2,365.30","2,327.58","4.35B","0.51%"
"01/25/2024","2,336.79","2,278.56","2,340.20","2,275.86","4.22B","2.47%"
"01/24/2024","2,280.58","2,240.19","2,284.39","2,207.90","3.83B","2.35%"
"01/23/2024","2,228.27","2,200.97","2,240.01","2,181.21","2.86B","0.99%"
"01/22/2024","2,206.50","2,273.39","2,276.63","2,191.95","3.27B","-3.10%"
"01/19/2024","2,277.06","2,278.83","2,290.70","2,269.10","2.45B","-0.55%"
"01/18/2024","2,289.72","2,275.76","2,291.85","2,223.72","3.65B","0.01%"
"01/17/2024","2,289.58","2,326.12","2,331.13","2,289.58","2.81B","-1.78%"
"01/16/2024","2,330.97","2,312.09","2,330.97","2,302.61","3.20B","0.73%"
"01/15/2024","2,313.98","2,294.56","2,326.92","2,291.44","2.48B","0.57%"
"01/12/2024","2,300.84","2,305.46","2,328.83","2,300.84","2.61B","-0.48%"
"01/11/2024","2,311.83","2,296.59","2,318.60","2,292.31","2.60B","0.62%"
"01/10/2024","2,297.54","2,301.07","2,310.24","2,286.07","2.51B","-0.31%"
"01/09/2024","2,304.70","2,299.00","2,309.59","2,291.52","2.51B","0.31%"
"01/08/2024","2,297.67","2,327.89","2,330.58","2,297.67","2.48B","-1.64%"
"01/05/2024","2,335.87","2,338.86","2,364.36","2,327.47","3.11B","-0.21%"
"01/04/2024","2,340.73","2,349.38","2,349.41","2,327.98","2.22B","-0.44%"
"01/03/2024","2,351.11","2,341.37","2,356.19","2,339.64","2.31B","0.25%"
"01/02/2024","2,345.29","2,356.82","2,358.02","2,345.29","2.46B","-0.46%"
"12/29/2023","2,356.19","2,339.74","2,359.04","2,337.77","2.60B","0.55%"
"12/28/2023","2,343.23","2,306.03","2,350.59","2,302.77","3.03B","1.42%"
"12/27/2023","2,310.33","2,290.28","2,312.04","2,278.32","2.31B","0.81%"
"12/26/2023","2,291.78","2,313.46","2,317.45","2,287.83","1.95B","-1.00%"
"12/25/2023","2,315.04","2,318.21","2,322.58","2,306.60","2.09B","-0.34%"
"12/22/2023","2,323.02","2,341.59","2,345.87","2,317.12","2.67B","-0.81%"
"12/21/2023","2,341.91","2,330.61","2,347.74","2,315.88","2.72B","0.10%"
"12/20/2023","2,339.67","2,373.02","2,373.74","2,339.61","2.89B","-1.48%"
"12/19/2023","2,374.93","2,379.96","2,385.32","2,358.24","2.93B","-0.39%"
"12/18/2023","2,384.14","2,401.59","2,410.75","2,379.31","3.05B","-0.79%"
"12/15/2023","2,403.20","2,413.07","2,425.47","2,396.57","3.19B","-0.13%"
"12/14/2023","2,406.40","2,423.16","2,428.37","2,405.44","2.61B","-0.32%"
"12/13/2023","2,414.11","2,437.21","2,437.21","2,414.11","2.91B","-1.09%"
"12/12/2023","2,440.69","2,426.17","2,442.20","2,421.51","3.13B","0.43%"
